	SV CODE	SV EXPERIMENT CODE	SV EXPERIMENT QA STATUS	SV EXPERIMENT SNR	SV EXPERIMENT WBW	SV IS A VALID EXPERIMENT?	SV IS A VALID VOXEL?
et2024 	svs000 	idf0000 	NA 	89.51 	5.12 	YES 	YES 	et2024 	svs000 	idf0000 	0 	89.51 	5.12 	0 	0
et2050 	svs022 	idf0006 	NA 	39.5 		YES 	YES 	et2050 	svs022 	idf0006 	0 	39.5 	0.0 	0 	0
et2050 	svs022 	idf0007 	NA 	28.83 	9.26 	YES 	YES 	et2050 	svs022 	idf0007 	0 	28.83 	9.26 	0 	0
et2050 	svs022 	idf0008 	NA 	39.5 	4.39 	YES 	YES 	et2050 	svs022 	idf0008 	0 	39.5 	4.39 	0 	0
et2050 	svs023 	idf0000 	NA 			YES 	YES 	et2050 	svs023 	idf0000 	0 	0.0 	0.0 	0 	0
et2050 	svs023 	idf0001 	NA 			YES 	YES 	et2050 	svs023 	idf0001 	0 	0.0 	0.0 	0 	0
et2050 	svs023 	idf0002 	NA 	39.5 		YES 	YES 	et2050 	svs023 	idf0002 	0 	39.5 	0.0 	0 	0
et2050 	svs023 	idf0003 	NA 			YES 	YES 	et2050 	svs023 	idf0003 	0 	0.0 	0.0 	0 	0
et2050 	svs023 	idf0004 	NA 			YES 	YES 	et2050 	svs023 	idf0004 	0 	0.0 	0.0 	0 	0
et2050 	svs024 	idf0000 	NA 	28.83 	9.26 	YES 	YES 	et2050 	svs024 	idf0000 	0 	28.83 	9.26 	0 	0
et2050 	svs025 	idf0000 	NA 	38.26 	4.14 	YES 	YES 	et2050 	svs025 	idf0000 	0 	38.26 	4.14 	0 	0
et2050 	svs027 	idf0001 	NA 	39.5 		YES 	YES 	et2050 	svs027 	idf0001 	0 	39.5 	0.0 	0 	0
et2050 	svs028 	idf0001 	NA 			YES 	YES 	et2050 	svs028 	idf0001 	0 	0.0 	0.0 	0 	0
et2050 	svs030 	idf0000 	NA 	7.96 	5.36 	YES 	YES 	et2050 	svs030 	idf0000 	0 	7.96 	5.36 	0 	0
et2050 	svs030 	idf0001 	NA 	33.52 		YES 	YES 	et2050 	svs030 	idf0001 	0 	33.52 	0.0 	0 	0
et2051 	svs000 	idf0000 	NA 	49.41 	2.93 	YES 	YES 	et2051 	svs000 	idf0000 	0 	49.41 	2.93 	0 	0
et2051 	svs000 	idf0001 	NA 	32.08 	2.93 	YES 	YES 	et2051 	svs000 	idf0001 	0 	32.08 	2.93 	0 	0
et2052 	svs000 	idf0000 	NA 	46.44 	6.34 	YES 	YES 	et2052 	svs000 	idf0000 	0 	46.44 	6.34 	0 	0
et2052 	svs000 	idf0001 	NA 	27.15 	5.85 	YES 	YES 	et2052 	svs000 	idf0001 	0 	27.15 	5.85 	0 	0
et2053 	svs000 	idf0000 	NA 	46.25 	4.14 	YES 	YES 	et2053 	svs000 	idf0000 	0 	46.25 	4.14 	0 	0
et2053 	svs000 	idf0001 	NA 	44.37 	4.14 	YES 	YES 	et2053 	svs000 	idf0001 	0 	44.37 	4.14 	0 	0
et2054 	svs000 	idf0000 	NA 	171.41 	2.19 	YES 	YES 	et2054 	svs000 	idf0000 	0 	171.41 	2.19 	0 	0
et2054 	svs000 	idf0001 	NA 	31.73 	2.19 	YES 	YES 	et2054 	svs000 	idf0001 	0 	31.73 	2.19 	0 	0
et2055 	svs001 	idf0000 	NA 			YES 	YES 	et2055 	svs001 	idf0000 	0 	0.0 	0.0 	0 	0
et2055 	svs001 	idf0001 	NA 			YES 	YES 	et2055 	svs001 	idf0001 	0 	0.0 	0.0 	0 	0
et2056 	svs000 	idf0000 	YES 	24.3 	4.14 	YES 	YES 	et2056 	svs000 	idf0000 	1 	24.3 	4.14 	0 	0
et2056 	svs000 	idf0007 	YES 	24.3 	4.14 	YES 	YES 	et2056 	svs000 	idf0007 	1 	24.3 	4.14 	0 	0
et2057 	svs000 	idf0000 	NA 			YES 	YES 	et2057 	svs000 	idf0000 	0 	0.0 	0.0 	0 	0
et2057 	svs000 	idf0001 	NA 			YES 	YES 	et2057 	svs000 	idf0001 	0 	0.0 	0.0 	0 	0
et2058 	svs000 	idf0000 	NA 	75.6 	4.14 	YES 	YES 	et2058 	svs000 	idf0000 	0 	75.6 	4.14 	0 	0
et2058 	svs000 	idf0001 	NA 	75.6 	4.14 	YES 	YES 	et2058 	svs000 	idf0001 	0 	75.6 	4.14 	0 	0
et2059 	svs000 	idf0000 	NA 	29.3 	6.83 	YES 	YES 	et2059 	svs000 	idf0000 	0 	29.3 	6.83 	0 	0
et2059 	svs000 	idf0003 	NA 	29.3 	6.83 	YES 	YES 	et2059 	svs000 	idf0003 	0 	29.3 	6.83 	0 	0
et2060 	svs000 	idf0000 	NA 	132 		YES 	YES 	et2060 	svs000 	idf0000 	0 	132.0 	0.0 	0 	0
et2060 	svs000 	idf0001 	NA 	132 		YES 	YES 	et2060 	svs000 	idf0001 	0 	132.0 	0.0 	0 	0
et2063 	svs000 	idf0001 	NA 	93.79 	4.27 	YES 	YES 	et2063 	svs000 	idf0001 	0 	93.79 	4.27 	0 	0
et2064 	svs000 	idf0000 	NA 	68.97 	8.45 	YES 	YES 	et2064 	svs000 	idf0000 	0 	68.97 	8.45 	0 	0
et2067 	svs000 	idf0000 	NA 	196.87 	5.49 	YES 	YES 	et2067 	svs000 	idf0000 	0 	196.87 	5.49 	0 	0
et2068 	svs000 	idf0000 	NA 	63.62 	6.1 	YES 	YES 	et2068 	svs000 	idf0000 	0 	63.62 	6.1 	0 	0
et2070 	svs000 	idf0003 	NA 			YES 	YES 	et2070 	svs000 	idf0003 	0 	0.0 	0.0 	0 	0
et2071 	svs000 	idf0000 	NA 	170.02 	4.27 	YES 	YES 	et2071 	svs000 	idf0000 	0 	170.02 	4.27 	0 	0
et2074 	svs000 	idf0009 	NA 	26.45 	3.66 	YES 	YES 	et2074 	svs000 	idf0009 	0 	26.45 	3.66 	0 	0
et2074 	svs001 	idf0001 	NA 	27.1 	3.66 	YES 	YES 	et2074 	svs001 	idf0001 	0 	27.1 	3.66 	0 	0
et2075 	svs000 	idf0000 	NA 	190.61 	5.49 	YES 	YES 	et2075 	svs000 	idf0000 	0 	190.61 	5.49 	0 	0
et2077 	svs000 	idf0000 	NA 	51.92 	4.27 	YES 	YES 	et2077 	svs000 	idf0000 	0 	51.92 	4.27 	0 	0
et2077 	svs001 	idf0000 	NA 	40.16 	5.49 	YES 	YES 	et2077 	svs001 	idf0000 	0 	40.16 	5.49 	0 	0
et2078 	svs000 	idf0000 	NA 	34.92 	5.49 	YES 	YES 	et2078 	svs000 	idf0000 	0 	34.92 	5.49 	0 	0
et2078 	svs001 	idf0000 	NA 	42.92 	4.88 	YES 	YES 	et2078 	svs001 	idf0000 	0 	42.92 	4.88 	0 	0
et2080 	svs000 	idf0000 	NA 	71.46 	1.83 	YES 	YES 	et2080 	svs000 	idf0000 	0 	71.46 	1.83 	0 	0
et2080 	svs000 	idf0001 	NA 	29.15 	1.22 	YES 	YES 	et2080 	svs000 	idf0001 	0 	29.15 	1.22 	0 	0
et2081 	svs000 	idf0000 	NA 	40.61 	8.54 	YES 	YES 	et2081 	svs000 	idf0000 	0 	40.61 	8.54 	0 	0
et2081 	svs000 	idf0001 	NA 	14.64 	7.93 	YES 	YES 	et2081 	svs000 	idf0001 	0 	14.64 	7.93 	0 	0
et2082 	svs000 	idf0000 	NA 			YES 	YES 	et2082 	svs000 	idf0000 	0 	0.0 	0.0 	0 	0
et2082 	svs000 	idf0001 	NA 			YES 	YES 	et2082 	svs000 	idf0001 	0 	0.0 	0.0 	0 	0
et2083 	svs000 	idf0000 	NA 	286.66 	6.1 	YES 	YES 	et2083 	svs000 	idf0000 	0 	286.66 	6.1 	0 	0
et2084 	svs000 	idf0000 	NA 	64.98 	3.05 	YES 	YES 	et2084 	svs000 	idf0000 	0 	64.98 	3.05 	0 	0
et2085 	svs000 	idf0000 	NA 	224.11 	4.88 	YES 	YES 	et2085 	svs000 	idf0000 	0 	224.11 	4.88 	0 	0
et2085 	svs000 	idf0001 	NA 	16.91 	4.27 	YES 	YES 	et2085 	svs000 	idf0001 	0 	16.91 	4.27 	0 	0
et2086 	svs000 	idf0000 	NA 	15 	1.83 	YES 	YES 	et2086 	svs000 	idf0000 	0 	15.0 	1.83 	0 	0
et2086 	svs001 	idf0000 	NA 	38.52 	4.27 	YES 	YES 	et2086 	svs001 	idf0000 	0 	38.52 	4.27 	0 	0
et2087 	svs000 	idf0000 	NA 	151.37 	1.83 	YES 	YES 	et2087 	svs000 	idf0000 	0 	151.37 	1.83 	0 	0
et2088 	svs000 	idf0000 	NA 	276.5 	10.98 	YES 	YES 	et2088 	svs000 	idf0000 	0 	276.5 	10.98 	0 	0
et2089 	svs000 	idf0000 	NA 	48.23 	3.66 	YES 	YES 	et2089 	svs000 	idf0000 	0 	48.23 	3.66 	0 	0
et2090 	svs000 	idf0000 	NA 	21.59 	6.1 	YES 	YES 	et2090 	svs000 	idf0000 	0 	21.59 	6.1 	0 	0
et2091 	svs000 	idf0000 	NA 	29.74 	4.27 	YES 	YES 	et2091 	svs000 	idf0000 	0 	29.74 	4.27 	0 	0
et2091 	svs000 	idf0002 	NA 	15.97 	4.88 	YES 	YES 	et2091 	svs000 	idf0002 	0 	15.97 	4.88 	0 	0
et2091 	svs001 	idf0000 	NA 	30.94 	4.88 	YES 	YES 	et2091 	svs001 	idf0000 	0 	30.94 	4.88 	0 	0
et2091 	svs001 	idf0001 	NA 	13.23 	4.27 	YES 	YES 	et2091 	svs001 	idf0001 	0 	13.23 	4.27 	0 	0
et2093 	svs000 	idf0000 	NA 	89.72 	2.44 	YES 	YES 	et2093 	svs000 	idf0000 	0 	89.72 	2.44 	0 	0
et2094 	svs000 	idf0000 	NA 	119.36 	3.66 	YES 	YES 	et2094 	svs000 	idf0000 	0 	119.36 	3.66 	0 	0
et2098 	svs000 	idf0002 	NA 	22.6 	7.93 	YES 	YES 	et2098 	svs000 	idf0002 	0 	22.6 	7.93 	0 	0
et2099 	svs000 	idf0000 	NA 	19.41 	12.2 	YES 	YES 	et2099 	svs000 	idf0000 	0 	19.41 	12.2 	0 	0
et2100 	svs000 	idf0000 	NA 	99.54 	3.66 	YES 	YES 	et2100 	svs000 	idf0000 	0 	99.54 	3.66 	0 	0
et2110 	svs000 	idf0000 	NA 	59.77 	5.49 	YES 	YES 	et2110 	svs000 	idf0000 	0 	59.77 	5.49 	0 	0
et2111 	svs000 	idf0000 	NA 	64.5 	8.54 	YES 	YES 	et2111 	svs000 	idf0000 	0 	64.5 	8.54 	0 	0
et2113 	svs000 	idf0000 	NA 	34.15 	3.05 	YES 	YES 	et2113 	svs000 	idf0000 	0 	34.15 	3.05 	0 	0
et2115 	svs000 	idf0000 	NA 	69.5 	1.22 	YES 	YES 	et2115 	svs000 	idf0000 	0 	69.5 	1.22 	0 	0
et2116 	svs000 	idf0000 	NA 	292 	7.32 	YES 	YES 	et2116 	svs000 	idf0000 	0 	292.0 	7.32 	0 	0
et2117 	svs000 	idf0001 	NA 	30.3 	3.66 	YES 	YES 	et2117 	svs000 	idf0001 	0 	30.3 	3.66 	0 	0
et2118 	svs000 	idf0000 	NA 	37.6 	7.32 	YES 	YES 	et2118 	svs000 	idf0000 	0 	37.6 	7.32 	0 	0
et2120 	svs000 	idf0000 	NA 	265.99 	5.49 	YES 	YES 	et2120 	svs000 	idf0000 	0 	265.99 	5.49 	0 	0
et2123 	svs000 	idf0000 	NA 			YES 	YES 	et2123 	svs000 	idf0000 	0 	0.0 	0.0 	0 	0
et2125 	svs000 	idf0000 	NA 			YES 	YES 	et2125 	svs000 	idf0000 	0 	0.0 	0.0 	0 	0
et2126 	svs000 	idf0000 	NA 	37.71 	1.83 	YES 	YES 	et2126 	svs000 	idf0000 	0 	37.71 	1.83 	0 	0
et2128 	svs000 	idf0000 	NA 			YES 	YES 	et2128 	svs000 	idf0000 	0 	0.0 	0.0 	0 	0
et2129 	svs000 	idf0000 	NA 	59.22 	1.83 	YES 	YES 	et2129 	svs000 	idf0000 	0 	59.22 	1.83 	0 	0
et2130 	svs000 	idf0001 	NA 	339.18 	5.49 	YES 	YES 	et2130 	svs000 	idf0001 	0 	339.18 	5.49 	0 	0
et2131 	svs000 	idf0000 	NA 	226.83 	6.71 	YES 	YES 	et2131 	svs000 	idf0000 	0 	226.83 	6.71 	0 	0
et2132 	svs000 	idf0001 	NA 	31.2 	8.54 	YES 	YES 	et2132 	svs000 	idf0001 	0 	31.2 	8.54 	0 	0
et2133 	svs000 	idf0000 	NA 	249.68 	5.49 	YES 	YES 	et2133 	svs000 	idf0000 	0 	249.68 	5.49 	0 	0
et2135 	svs000 	idf0000 	NA 	47.79 	4.27 	YES 	YES 	et2135 	svs000 	idf0000 	0 	47.79 	4.27 	0 	0
et2136 	svs000 	idf0000 	NA 	25.28 	4.27 	YES 	YES 	et2136 	svs000 	idf0000 	0 	25.28 	4.27 	0 	0
et2138 	svs000 	idf0000 	NA 	166.52 	4.27 	YES 	YES 	et2138 	svs000 	idf0000 	0 	166.52 	4.27 	0 	0
et2139 	svs000 	idf0000 	NA 	49.78 	2.44 	YES 	YES 	et2139 	svs000 	idf0000 	0 	49.78 	2.44 	0 	0
et2140 	svs000 	idf0000 	NA 	18.73 	7.93 	YES 	YES 	et2140 	svs000 	idf0000 	0 	18.73 	7.93 	0 	0
et2140 	svs001 	idf0000 	NA 	16.17 	6.71 	YES 	YES 	et2140 	svs001 	idf0000 	0 	16.17 	6.71 	0 	0
et2141 	svs000 	idf0000 	NA 	54.56 	5.49 	YES 	YES 	et2141 	svs000 	idf0000 	0 	54.56 	5.49 	0 	0
et2142 	svs000 	idf0000 	NA 	590.03 	7.93 	YES 	YES 	et2142 	svs000 	idf0000 	0 	590.03 	7.93 	0 	0
et2145 	svs000 	idf0000 	NA 	345.62 	3.05 	YES 	YES 	et2145 	svs000 	idf0000 	0 	345.62 	3.05 	0 	0
et2146 	svs000 	idf0000 	NA 	22.81 	4.88 	YES 	YES 	et2146 	svs000 	idf0000 	0 	22.81 	4.88 	0 	0
et2147 	svs000 	idf0000 	NA 	22.13 	4.88 	YES 	YES 	et2147 	svs000 	idf0000 	0 	22.13 	4.88 	0 	0
et2147 	svs001 	idf0000 	NA 	27.93 	6.1 	YES 	YES 	et2147 	svs001 	idf0000 	0 	27.93 	6.1 	0 	0
et2148 	svs000 	idf0000 	NA 	50.86 	3.05 	YES 	YES 	et2148 	svs000 	idf0000 	0 	50.86 	3.05 	0 	0
et2148 	svs001 	idf0000 	NA 	44.96 	3.05 	YES 	YES 	et2148 	svs001 	idf0000 	0 	44.96 	3.05 	0 	0
et2149 	svs000 	idf0000 	NA 	21.93 	6.71 	YES 	YES 	et2149 	svs000 	idf0000 	0 	21.93 	6.71 	0 	0
et2150 	svs000 	idf0000 	NA 	59.5 	4.88 	YES 	YES 	et2150 	svs000 	idf0000 	0 	59.5 	4.88 	0 	0
et2151 	svs000 	idf0000 	NA 	43.13 	4.27 	YES 	YES 	et2151 	svs000 	idf0000 	0 	43.13 	4.27 	0 	0
et2152 	svs000 	idf0004 	NA 	27.37 	3.05 	YES 	YES 	et2152 	svs000 	idf0004 	0 	27.37 	3.05 	0 	0
et2153 	svs000 	idf0000 	NA 	51.62 	4.88 	YES 	YES 	et2153 	svs000 	idf0000 	0 	51.62 	4.88 	0 	0
et2154 	svs000 	idf0000 	NA 	13.82 	14.64 	YES 	YES 	et2154 	svs000 	idf0000 	0 	13.82 	14.64 	0 	0
et2155 	svs000 	idf0000 	NA 	176.92 	6.71 	YES 	YES 	et2155 	svs000 	idf0000 	0 	176.92 	6.71 	0 	0
et2156 	svs000 	idf0000 	NA 	46.02 	4.88 	YES 	YES 	et2156 	svs000 	idf0000 	0 	46.02 	4.88 	0 	0
et2158 	svs000 	idf0001 	NA 	183.2 	5.49 	YES 	YES 	et2158 	svs000 	idf0001 	0 	183.2 	5.49 	0 	0
et2159 	svs000 	idf0000 	NA 	43.06 	2.44 	YES 	YES 	et2159 	svs000 	idf0000 	0 	43.06 	2.44 	0 	0
et2159 	svs001 	idf0000 	NA 	71.12 	3.05 	YES 	YES 	et2159 	svs001 	idf0000 	0 	71.12 	3.05 	0 	0
et2160 	svs000 	idf0000 	NA 	72.36 	6.1 	YES 	YES 	et2160 	svs000 	idf0000 	0 	72.36 	6.1 	0 	0
et2160 	svs001 	idf0000 	NA 	38.98 	3.05 	YES 	YES 	et2160 	svs001 	idf0000 	0 	38.98 	3.05 	0 	0
et2161 	svs000 	idf0000 	NA 	163.36 	4.27 	YES 	YES 	et2161 	svs000 	idf0000 	0 	163.36 	4.27 	0 	0
et2162 	svs000 	idf0000 	NA 	27.89 	9.15 	YES 	YES 	et2162 	svs000 	idf0000 	0 	27.89 	9.15 	0 	0
et2163 	svs000 	idf0000 	NA 	41.79 	10.37 	YES 	YES 	et2163 	svs000 	idf0000 	0 	41.79 	10.37 	0 	0
et2163 	svs000 	idf0001 	NA 	11 	13.42 	YES 	YES 	et2163 	svs000 	idf0001 	0 	11.0 	13.42 	0 	0
et2165 	svs000 	idf0001 	NA 	52.74 	12.2 	YES 	YES 	et2165 	svs000 	idf0001 	0 	52.74 	12.2 	0 	0
et2166 	svs000 	idf0000 	NA 	200.33 	7.32 	YES 	YES 	et2166 	svs000 	idf0000 	0 	200.33 	7.32 	0 	0
et2168 	svs000 	idf0000 	NA 	200.33 	7.32 	YES 	YES 	et2168 	svs000 	idf0000 	0 	200.33 	7.32 	0 	0
et2169 	svs000 	idf0000 	NA 	139.34 	6.1 	YES 	YES 	et2169 	svs000 	idf0000 	0 	139.34 	6.1 	0 	0
et2170 	svs000 	idf0000 	NA 	70.97 	7.32 	YES 	YES 	et2170 	svs000 	idf0000 	0 	70.97 	7.32 	0 	0
et2171 	svs000 	idf0000 	NA 	35.29 	4.88 	YES 	YES 	et2171 	svs000 	idf0000 	0 	35.29 	4.88 	0 	0
et2172 	svs000 	idf0000 	NA 	24.76 	8.54 	YES 	YES 	et2172 	svs000 	idf0000 	0 	24.76 	8.54 	0 	0
et2173 	svs000 	idf0000 	NA 	97.4 	5.49 	YES 	YES 	et2173 	svs000 	idf0000 	0 	97.4 	5.49 	0 	0
et2174 	svs000 	idf0000 	NA 	131.8 	4.27 	YES 	YES 	et2174 	svs000 	idf0000 	0 	131.8 	4.27 	0 	0
et2175 	svs000 	idf0000 	NA 	29.1 	4.88 	YES 	YES 	et2175 	svs000 	idf0000 	0 	29.1 	4.88 	0 	0
et2176 	svs000 	idf0000 	NA 	256.62 	4.27 	YES 	YES 	et2176 	svs000 	idf0000 	0 	256.62 	4.27 	0 	0
et2176 	svs000 	idf0001 	NA 	48.89 	4.27 	YES 	YES 	et2176 	svs000 	idf0001 	0 	48.89 	4.27 	0 	0
et2178 	svs000 	idf0000 	NA 	51.1 	1.22 	YES 	YES 	et2178 	svs000 	idf0000 	0 	51.1 	1.22 	0 	0
et2178 	svs000 	idf0001 	NA 	29.14 	1.22 	YES 	YES 	et2178 	svs000 	idf0001 	0 	29.14 	1.22 	0 	0
et2179 	svs000 	idf0000 	NA 	96.29 	4.27 	YES 	YES 	et2179 	svs000 	idf0000 	0 	96.29 	4.27 	0 	0
et2180 	svs000 	idf0000 	NA 	55.86 	2.44 	YES 	YES 	et2180 	svs000 	idf0000 	0 	55.86 	2.44 	0 	0
et2181 	svs000 	idf0000 	NA 	138 	8.54 	YES 	YES 	et2181 	svs000 	idf0000 	0 	138.0 	8.54 	0 	0
et2184 	svs000 	idf0000 	NA 	113.3 	3.66 	YES 	YES 	et2184 	svs000 	idf0000 	0 	113.3 	3.66 	0 	0
et2185 	svs000 	idf0000 	NA 	78.2 	1.83 	YES 	YES 	et2185 	svs000 	idf0000 	0 	78.2 	1.83 	0 	0
et2185 	svs001 	idf0000 	NA 	29.2 	1.22 	YES 	YES 	et2185 	svs001 	idf0000 	0 	29.2 	1.22 	0 	0
et2185 	svs001 	idf0001 	NA 	14.38 	1.22 	YES 	YES 	et2185 	svs001 	idf0001 	0 	14.38 	1.22 	0 	0
